caller,receiver,duration,timestamp,tower_location
9876543210,9823456789,45,2024-03-13 22:14:00,Andheri East
9876543210,9823456789,12,2024-03-13 23:02:00,Andheri East
9876543210,9823456789,8,2024-03-14 01:47:00,Andheri East
9876543210,9765432108,320,2024-03-12 19:30:00,Andheri East
9876543210,9765432108,275,2024-03-13 20:10:00,Andheri East
9876543210,9765432108,190,2024-03-14 03:22:00,Andheri West
9823456789,9765432108,60,2024-03-14 02:55:00,Andheri East
9823456789,9911223344,15,2024-03-14 02:58:00,Andheri East
9765432108,9911223344,240,2024-03-11 15:20:00,Karol Bagh Delhi
9765432108,9988776655,180,2024-03-12 16:05:00,Karol Bagh Delhi
9765432108,9900112233,95,2024-03-12 17:45:00,Karol Bagh Delhi
9765432108,9877001122,140,2024-03-13 11:30:00,Karol Bagh Delhi
9765432108,9866554433,110,2024-03-13 12:15:00,Karol Bagh Delhi
9765432108,9855443322,75,2024-03-13 14:00:00,Karol Bagh Delhi
9765432108,9844332211,88,2024-03-13 18:20:00,Karol Bagh Delhi
9765432108,9833221100,130,2024-03-13 19:40:00,Karol Bagh Delhi
9765432108,9822110099,64,2024-03-14 09:10:00,Karol Bagh Delhi
9765432108,9811009988,52,2024-03-14 10:25:00,Karol Bagh Delhi
9911223344,9988776655,210,2024-03-10 13:00:00,Bandra
9911223344,9876543210,7,2024-03-14 04:01:00,Bandra
9911223344,9876543210,6,2024-03-14 04:05:00,Bandra
9911223344,9876543210,9,2024-03-14 04:11:00,Bandra
9988776655,9900112233,155,2024-03-09 10:45:00,Dadar
9900112233,9877001122,98,2024-03-08 09:15:00,Thane
