from_account,to_account,amount,date,memo
918273645510,776655443322,950000,2024-03-14 03:15:00,consultancy fee
918273645510,776655443322,980000,2024-03-15 02:40:00,consultancy fee
918273645510,665544332211,975000,2024-03-16 04:05:00,advance payment
776655443322,554433221100,940000,2024-03-16 11:20:00,transfer
776655443322,443322110099,930000,2024-03-17 12:05:00,transfer
665544332211,554433221100,960000,2024-03-17 03:50:00,settlement
554433221100,332211009988,1850000,2024-03-18 14:30:00,property advance
443322110099,332211009988,45000,2024-03-18 15:10:00,misc
332211009988,221100998877,25000,2024-03-19 10:00:00,salary
221100998877,110099887766,18000,2024-03-19 11:30:00,salary
110099887766,998877665544,12000,2024-03-20 09:45:00,vendor payment
998877665544,887766554433,9500,2024-03-20 10:15:00,vendor payment
887766554433,776655443322,8200,2024-03-21 13:00:00,refund
918273645510,887766554433,3200000,2024-03-21 02:10:00,offshore remittance
665544332211,443322110099,7400,2024-03-22 16:40:00,misc
554433221100,110099887766,6100,2024-03-22 17:20:00,misc
332211009988,998877665544,5300,2024-03-23 12:50:00,misc
221100998877,887766554433,4800,2024-03-23 14:25:00,misc
110099887766,665544332211,15600,2024-03-24 15:05:00,misc
998877665544,918273645510,22000,2024-03-24 16:35:00,repayment
